id,establishment,name,type
1,国立,小樽商科大学,University
2,国立,北海道大学,University
3,国立,北海道教育大学,University
4,国立,室蘭工業大学,University
5,国立,北見工業大学,University
6,国立,弘前大学,University
7,国立,岩手大学,University
8,国立,東北大学,University
9,国立,秋田大学,University
10,国立,山形大学,University
11,国立,福島大学,University
12,国立,茨城大学,University
13,国立,群馬大学,University
14,国立,横浜国立大学,University
15,国立,山梨大学,University
16,国立,信州大学,University
17,国立,新潟大学,University
18,国立,筑波大学,University
19,国立,長岡科学技術大学,University
20,国立,お茶の水女子大学,University
21,国立,電気通信大学,University
22,国立,東京大学,University
23,国立,東京医科歯科大学,University
24,国立,東京外国語大学,University
25,国立,東京工業大学,University
26,国立,東京農工大学,University
27,国立,豊橋技術科学大学,University
28,国立,千葉大学,University
29,国立,九州工業大学,University
30,国立,大阪大学,University
31,国立,金沢大学,University
32,国立,熊本大学,University
33,国立,神戸大学,University
34,国立,徳島大学,University
35,国立,三重大学,University
36,国立,九州大学,University
38,国立,京都工芸繊維大学,University
39,国立,広島大学,University
40,国立,宇都宮大学,University
41,国立,岡山大学,University
42,国立,福井大学,University
43,国立,岐阜大学,University
45,国立,名古屋工業大学,University
46,国立,名古屋大学,University
47,国立,和歌山大学,University
48,国立,琉球大学,University
50,国立,愛媛大学,University
51,国立,富山大学,University
52,国立,香川大学,University
53,国立,静岡大学,University
54,国立,鹿児島大学,University
55,国立,山口大学,University
56,国立,東京海洋大学,University
57,国立,佐賀大学,University
58,国立,島根大学,University
59,国立,大分大学,University
60,国立,京都大学,University
61,国立,奈良女子大学,University
62,国立,埼玉大学,University
63,国立,長崎大学,University
64,国立,高知大学,University
65,国立,一橋大学,University
66,国立,滋賀大学,University
67,国立,京都教育大学,University
68,国立,鳥取大学,University
69,公立,首都大学東京,University
70,公立,高知工科大学,University
71,公立,札幌市立大学,University
72,公立,北九州市立大学,University
73,公立,大阪府立大学,University
74,公立,公立はこだて未来大学,University
75,公立,京都府立大学,University
76,公立,秋田県立大学,University
77,公立,会津大学,University
78,公立,前橋工科大学,University
79,公立,大阪市立大学,University
80,公立,広島市立大学,University
